topTopicThemePerc,topToThirdTopicThemePerc,topToFifthTopicThemePerc,enthropy,percInMinusOne
disaster/crisis/emergency,0.3828125,0.46875,0.515625,2.012282719290428,41.40625
advice/wellness,0.23711340206185566,0.3711340206185567,0.41237113402061853,2.279158651834295,53.608247422680414
Art/museums/culture,0.5595238095238095,0.5833333333333334,0.6071428571428571,0.6799459483555353,38.095238095238095
protest/public concern,0.05017921146953405,0.13978494623655913,0.1935483870967742,4.0932711870421645,67.02508960573476
Culinary,0.7222222222222222,0.7469135802469136,0.7654320987654321,0.7334546027778407,20.37037037037037
crime,0.30198019801980197,0.38613861386138615,0.400990099009901,1.5650315817629368,56.930693069306926
General Media,0.07142857142857142,0.1590909090909091,0.19155844155844157,3.6833226605064575,71.42857142857143
War/conflicts,0.26,0.37,0.4,1.8276424829660698,56.99999999999999
Government/public office,0.07920792079207921,0.19801980198019803,0.25742574257425743,3.201867556507493,63.366336633663366
Discrimination/representation/rights,0.15527950310559005,0.22981366459627328,0.2732919254658385,2.5444316955377912,67.70186335403726
aid/charity,0.1391304347826087,0.20869565217391303,0.24347826086956523,3.5776972820499053,60.0
Family life/concerns,0.17674418604651163,0.22325581395348837,0.24186046511627907,2.5621574910641667,69.30232558139535
Sports,0.5,0.5373134328358209,0.5597014925373134,1.5985570423435602,35.82089552238806
Innovation/tech/science,0.16129032258064516,0.3978494623655914,0.43010752688172044,2.5487317410210286,50.53763440860215
Economic/business,0.08125,0.125,0.15,3.4659444394890846,76.25
Environmental/nature,0.28,0.41333333333333333,0.44666666666666666,2.445109570016839,46.0
Legislation,0.0625,0.13125,0.18125,3.401230448839705,73.75
Music,0.5662650602409639,0.5903614457831325,0.6144578313253012,0.553490517876418,38.55421686746988
Social Media,0.7083333333333334,0.725,0.7333333333333333,0.26854264623156254,26.666666666666668
Health crisis,0.46153846153846156,0.5104895104895105,0.5244755244755245,1.5559832614071754,40.55944055944056
Education,0.3586206896551724,0.4068965517241379,0.42758620689655175,1.5863142275350732,52.41379310344828
